CDOM,List Date,Current List Price,Status Change Date,Closed Date,Closed Price,Status,Statuschangetimestamp,Agent Only Remarks,Amenities,Basement,Concessions,Cooling,County,Exterior Features,Garage,Heating,HO Assoc,HO Assoc Fee,Interior Features,Lot_Desc,Lot_Square_Feet,MLS Number,Neighborhood,Public_Rmks,State,Street,# Full Baths,# Half Baths,# of Bedrooms,# of Rooms,Acres,ADOM,Exp. Date,Num Fireplaces,OffMarketDate,Original List Price,Reo_Property,Square_Feet,Street_Dir,Street_Post_Dir,Street_Type,Unit_No,Town,Year Built,Zip_Code,Num Stories,Prop Type,Street_No,Style
175,9/27/2016 0:00,249900,2/15/2017 13:31,2/15/2017 0:00,225000,Sold,2/15/2017 13:31,,"Library, Park, Public Transportation, Tennis Courts",Full,,None,Fairfield,,1,"Gas, Hot Water",FALSE,,,Level,,99160803,Black Rock,"Traditional Black Rock Colonial one block from Seabright Beach overlooking Black Rock Harbor. A little cosmetic updating of painting and refinished hardwood floors and the home will sparkle. Front to back living room with fireplace opens to the formal dining room and den, eat in kitchen with pantry, second level offers three bedrooms and an updated full bathroom. Conveniently located in walking distance to all that Black Rock offers from the pleasures of Long Island Sound to the fine Restaurants on The Avenue.  Home and garage are sold in As Is condition.",Connecticut,Grovers,1,1,3,7,0.11,114,,1,1/18/2017 0:00,259900,FALSE,1865,,,Avenue,,Bridgeport,1920,6605,,Single Family,391,Colonial
77,9/24/2016 0:00,224900,12/20/2016 14:13,12/19/2016 0:00,225000,Sold,12/20/2016 14:13,,,"Full, Part Finished",,Window Unit,Fairfield,"Deck, Lighting",1,Oil,FALSE,,"Security System, Some Window Treatments","Level, Partially Fenced",,99160829,North End,"Location! Location! Location!.  Great curb appeal and Mayor's award for beautification, spacious 6 room, 3 bedroom cape accessible to everything.  Very spacious bedrooms .  Beautiful living room with hardwood floors and fireplace, formal dining room with hardwood floors.  Updated eat in kitchen with laminate counter top that leads to a big deck overlooking deep private backyard with flowering trees.  Additional space in lower level.  Walking distance to school and easy access to Merritt Parkway and metro north. One car garage.  Come see!!!",Connecticut,Thorme,2,0,3,6,0.17,77,,1,12/11/2016 0:10,224900,FALSE,1428,,,Street,,Bridgeport,1949,6606,,Single Family,333,"Cape, Colonial"
17,2/12/2017 0:00,225000,2/12/2017 9:44,,,Active,2/12/2017 9:44,Security Code 8752 when Entering & Code 8752 when Departing,"Public Transportation, Shopping/Mall","Full, Unfinished, Walk-Out",,Window Unit,Fairfield,Balcony,1,Oil,FALSE,,Security System,"Corner, Level",,99173915,North End,"Spacious 3 Bedroom Colonial Located on Corner Lot in the Desirable North End of Bridgeport, Close Proximity to Sacred Heart University, Trumbull Mall & Merritt Parkway. Hardwood Floors Throughout, Fireplace, Eat In Kitchen, 3 Good Sized Bedrooms, Master Bedroom with walk in Cedar Closet and Balcony, Large Fenced Lot for Expansion, Full Walk Out Basement, New Furnace, New Roof, Updated Electrical Panel. A Great Starter Home FHA/VA Approved.",Connecticut,Old Town,1,0,3,6,0.24,17,,1,,225000,FALSE,1282,,,Road,,Bridgeport,1950,6606,,Single Family,3300,Colonial
283,5/18/2016 0:00,224900,8/14/2016 14:26,8/10/2016 0:00,227500,Sold,8/14/2016 14:26,ALARM IS USUALLY ON DURING DAY....FOR EASY SHOWING CALL OR TEXT DAY/NIGHT BEFORE! ANITA FLYNN 203.984.5166,"Library, Medical Facility, Public Transportation, Shopping/Mall, Tennis Courts",Full,,Cent. Air,Fairfield,"Gutters, Patio, Porch",4,"Gas, Hot Water, Zoned",FALSE,,"Insulated Windows, Security System","Level, Partially Fenced",,99146615,North End,"IMAGINE THE PLEASURE OF COMING HOME EACH DAY TO THIS WELCOMING NORTH END HOME IN A GREAT NEIGHBORHOOD! A GRACIOUS ENTRY GREETS YOU AT THIS LOVINGLY CARED FOR COLONIAL. EASY FLOWING FLOOR PLAN OFFERS SPACIOUS LIVING ROOM, DINING ROOM, KITCHEN & FAMILY ROOM LEADING TO AMPLE PATIO AND DEEP, OVERSIZED BACK YARD...ENOUGH ROOM FOR POOL, SWING SET OR BOCCI COURT! FOUR CAR GARAGE (!) FIRES THE IMAGINATION OF THE CAR ENTHUSIAST! KITCHEN BOASTS MAPLE CABINETS, GRANITE COUNTERS & STAINLESS APPLIANCES! HARDWOOD & TILED FLRS THRU OUT. STYLISHLY UPDATED BATHS! NEWER ROOF, SIDING, WINDOWS, AC UNIT, WATER HTR! WALK UP ATTIC FOR STORAGE. WALK TO ST. VINCENT'S OR TRAIN! BUS LINE TOO! YOU'LL LOVE LIVING IN THIS WARM AND WELCOMING HOME! COME SEE TODAY!",Connecticut,Harlem,2,0,3,8,0.24,37,,2,6/24/2016 0:00,224900,FALSE,1860,,,Avenue,,Bridgeport,1919,6606,,Single Family,124,Colonial
29,8/9/2016 0:00,228000,10/31/2016 15:50,10/31/2016 0:00,228000,Sold,10/31/2016 15:50,All offers to be submitted on 3 page MLS real estate standard contract. Owner/Agent,,"Finished, Full, Interior Access",,"Window Unit, None",Fairfield,Deck,1,"Gas, Radiator",FALSE,,,"Chain Link Fence, Fully Fenced",,99156472,North End,"Stunning and completely renovated colonial. Home features 3 bedrooms, 3 full bathrooms, 1 partial bathroom, finished attic and finished basement with a bonus room. Laundry room can be found on the first floor of the home with hardwood floors, super new eat-in kitchen with granite counter tops and stainless steel appliances. Elegant and moderized home with new roof and beautiful surroundings. Owner/Agent",Connecticut,Garfield,3,1,3,9,0.11,29,,1,9/7/2016 0:00,239000,FALSE,1680,,,Avenue,,Bridgeport,1930,6606,,Single Family,215,Colonial
147,1/26/2017 0:00,229000,2/25/2017 14:31,,,Active,1/26/2017 15:21,All offers on MLS 3 page Standard Real Estate Contract.,"Golf Course, Health Club, Library, Medical Facility, Park, Public Transportation, Shopping/Mall","Full, Part Finished",,Window Unit,Fairfield,"Balcony, Deck, French Doors, Gutters, Lighting",2,"Gas, Hot Water, Baseboard, Radiator",FALSE,,"Security System, Some Window Treatments","Fully Fenced, Level",,99172077,Brooklawn,"9+ room Colonial with 4 bedrooms and 2 bath in the Brooklawn area on the Bridgeport/Fairfield line. A must see in a great neighborhood. Turn key home featuring $100,000 plus in recent renovations. Large LR w/fireplace, Large DR, newly constructed den, updated kitchen, and bathrooms, hardwood floors throughout. All new ceilings, thermopane windows, partially finished basement, & 2 new decks.  Walkup attic. Fully fenced backyard w/vinyl fencing, detached 2 car garage, new roof, gutters, and exterior paint. Nothing to do but move in. Sq. footage doesn't include den, finished attic, or finished basement. Brand new water heater.",Connecticut,Dixon,1,1,4,9,0.11,34,,1,,239900,FALSE,1800,,,Street,,Bridgeport,1921,6604,,Single Family,70,Colonial
57,2/10/2016 0:00,229900,3/24/2016 14:49,3/24/2016 0:00,229900,Sold,3/24/2016 14:49,"A real pleasure- show it and sell it!  Stunning kitchen remodel with stainless and granite, newer roof, windows, siding, doors, driveway, landscaping, deck & two car garage, refinished hardwood, crown molding, fresh paint, fireplace, two full baths, new carpeting in upper level, fully finished lower level, laundry area, updated electric, gas furnace/ gas hot water heater, city water/sewer.","Golf Course, Health Club, Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall","Finished, Full, Storage",,Attic Fan,Fairfield,"Deck, Gutters, Lighting, Porch",2,"Gas, Radiator, Baseboard, Zoned",FALSE,,"All Window Treatments, Insulated Windows","Level, Partially Fenced",,99133412,Brooklawn,"Beautifully updated classic colonial centrally located seconds from Fairfield in the Brooklawn area, minutes from the Merrit Parkway, I-95, downtown, schools, restaurants & shopping.  Bright, open & airy best describes this truly charming turn key home.  Outside features include a newer roof, windows, siding, doors, driveway, landscaping, deck & two car garage.  Inside stunning kitchen remodel with granite, stainless, hardwood, crown molding, fresh paint, fireplace, two full remodeled baths, newer lighting & ceiling fans as well as new carpeting in the upper level.  Finish it off with a fully finished lower level, laundry area, updated electric, gas furnace/ gas hot water heater, city water/sewer and pride of ownership in every direction.",Connecticut,Pierce,2,0,3,8,0.11,43,,1,3/24/2016 0:00,229900,FALSE,1947,,,Avenue,,Bridgeport,1926,6604,,Single Family,68,Colonial
74,12/1/2016 0:00,229900,2/14/2017 0:10,,,Pending,2/14/2017 0:10,,"Golf Course, Health Club, Library, Medical Facility, Playground, Pool, Public Transportation, Shopping/Mall","Full, Livable Space, Part Finished",,"Wall Unit, Window Unit",Fairfield,Porch,2,Gas,FALSE,,Some Window Treatments,"Level, Partially Fenced, Privacy Fence, Wood Fence",,99167586,Lake Forest,"Move right in to this 4 bedroom colonial located in The Lake Forest section just minutes from Sacred Heart University, major highways, shopping, parks, etc... Main level boasts an updated kitchen w/granite, huge living and dining areas with gleaming hardwood and a separate office/computer room. Second level has three bedrooms with a full walkup to the finished attic used as the 4th with a cedar closet. Lower level is perfectly set up for a possible in-law setup or au pair with its own entrance and beautiful fireplace!",Connecticut,Woodside,2,1,4,6,0.12,74,,2,2/14/2017 0:10,229900,FALSE,1687,,,Avenue,,Bridgeport,1932,6606,,Single Family,149,Colonial
163,9/19/2016 0:00,230000,9/19/2016 10:17,,,Active,9/19/2016 10:17,"Owner to paint the entire house, replace all doors in the house. Front walk way will be re done and front railing to be replaced as well.",,"Partial, Unfinished",,None,Fairfield,,0,"Oil, Radiator",FALSE,,,Level,,99160766,Beardsley Park,"Spacious and charming Colonial with lots to offer, newer hard wood floors in living room and dining room, spacious Family Room, Cermic Tile, Close To Major Highway And Shopping, 3 bedrooms, 1.5 baths, great back yard space, storage in basement and attic, kitchen can be expanded, Roof is 3 years old and has a 50 year warranty by Home Depot. A great value! Do not miss this opportunity.",Connecticut,Seltsam,1,1,3,6,0.23,163,,0,,230000,FALSE,1608,,,Road,,Bridgeport,1925,6606,,Single Family,179,Colonial
22,11/14/2016 0:00,228000,1/11/2017 19:26,1/11/2017 0:00,230000,Sold,1/11/2017 19:26,,"Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall, Tennis Courts",Full,7500,Cent. Air,Fairfield,"Gutters, Lighting, Porch",2,"Gas, Radiator",FALSE,,,"Level, Partially Fenced",,99166480,North End,"First Class Workmanship  Colonial top to bottom renovated in 2016, 3 Bedrooms,  1.5 Baths,  Spacious 2 car Garage, new roof, new siding, Professionally Landscaped, New Paved Driveway.  Living room with Fireplace,  new custom kitchen with top of the line Cabinets, modern Back-splash, beautiful granite counters and Stainless Steal Appliances , Central Air, Shiny Hardwood Floors, Lighting, Large Basement. Just move in. Make an offer on this one today before it is gone. ""HIGHEST AND BEST BY MONDAY 11/21/2016 AT NOON.""",Connecticut,Savoy,1,1,3,6,0.11,22,,1,12/6/2016 0:00,228000,FALSE,1301,,,Street,,Bridgeport,1938,6606,,Single Family,535,Colonial
65,4/27/2016 0:00,249900,8/26/2016 12:53,7/29/2016 0:00,232000,Sold,8/26/2016 12:53,,"Golf Course, Park, Playground, Public Transportation, Shopping/Mall","Full, Part Finished, Storage, Sump Pump",,None,Fairfield,"Awnings, Gutters, Lighting, Patio, Shed",1,"Gas, Hot Water, Baseboard, None",FALSE,,"Insulated Windows, Security System",Level,,99143621,North End,"You have found a Treasure in Bridgeport! Your search has ended! This Gorgeous Home shows Pride of Ownership thru out! You will fall in love with the newer Kitchen with Granite counter tops & built-in pantry. Gleaming Hardwood Floors thru out. Three Bedrooms include 1 Bedroom on Main Level, 2 Large Bedrooms with Walk-in Closets on Upper Level. Two newer Full Bathrooms feature Granite counter tops & tile floors. Four Storage Closets! Partially finished basement with carpeting. Other half is laundry & storage. New Baseboards thru out. Newer Gas Broiler. Newer Energy Efficient Windows. Newer doors in entry ways and throughout interior of home. Fenced in yard. Alarm system. New roof in 2010. Generator transfer switch hook up. Single car garage.",Connecticut,Alexander,2,0,3,6,0.11,65,,0,7/2/2016 0:00,249900,FALSE,1267,,,Avenue,,Bridgeport,1955,6606,,Single Family,146,"Cape, Colonial"
34,1/3/2017 0:00,234900,2/6/2017 17:19,,,Pending,2/6/2017 17:19,All offers typed on the 3 page CMLS RE contract form.  EM to listing agency.  POF or preapproval within last 30 days if 203K must be for enough to cover purchase and rehab.  Send as 1 pdf to LA.  Questions email listing agent.  No phone calls please.  Sold as is no inspections.  Freeze damage.  All buyer's must to their own due diligence.,"Medical Facility, Park, Public Transportation, Shopping/Mall","Full, Interior Access, Part Finished",,Zoned,Fairfield,Porch,0,"Gas, Hot Air",FALSE,,Insulated Windows,Level,,99169679,Black Rock,"Black Rock Diamond in the rough.  Needs finishing touches and you will have a home sweet home walk to the serene St. Mary's by the sea.  Pride of ownership and very tight community.  This has a lot that goes through to the street behind.  Area of more expensive homes.  This one is ready for you to put the finishing touches.  Property has freeze damages so no utilities will be activated for inspections.  LL has finished room has some discoloration.  Large open living, dining area on first floor.  Updated kitchen newer cabinets, tile floors.  Newer windows.  3 nice size bedrooms upstairs with small den, study, computer room.  Seller is looking for cash and or 203K offers.",Connecticut,Fayerweather,1,1,3,7,0.14,34,,0,2/6/2017 0:00,234900,TRUE,1256,,,Terrace,,Bridgeport,1922,6605,,Single Family,121,Colonial
40,1/13/2017 0:00,238900,1/26/2017 14:52,,,Pending,1/26/2017 14:52,All offers on MLS 3 page Standard Form Real Estate Contract.,,Unfinished,,None,Fairfield,,2,Gas,FALSE,,,Level,,99170660,North End,"MUST SEE!!!  TOTALLY RENOVATED HOME!  Stunning Colonial in a QUIET LOCATION featuring 3 bedrooms and 2 baths and gorgeous hardwood floors throughout.  A modern open floor plan includes living room, dining room, and kitchen with beautiful cabinets, quartz counter tops & Samsung S/S appliances.  Laundry area includes Samsung washer and dryer.  This masterpiece also offers a front enclosed porch and bonus room.  Exterior features include a large deck and tranquil backyard.  New siding and new roof.  Brand new GAS HEATER!  Located in a desirable North End location near Sacred Heart University, Route 15 (Merritt Parkway), and I-95.  All renovations approved by Building Department.  Come see this beauty and fall in love!",Connecticut,Oakwood,2,0,3,7,0.11,13,,0,1/26/2017 0:00,238900,FALSE,1327,,,Street,,Bridgeport,1931,6606,,Single Family,79,Colonial
78,3/4/2016 0:00,239000,6/6/2016 13:18,6/3/2016 0:00,239000,Sold,6/6/2016 13:18,,"Golf Course, Health Club, Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall","Full, Interior Access, Storage, Walk-Out",,None,Fairfield,,2,Oil,FALSE,,,Level,,99136269,North End,Totally renovated Colonial in excellent location. Gleaming HW floors. New cabinets with Granite counters. New SS Appliances. Breakfast bar and formal Dining room. Main level Bonus room with high ceilings and HW floors with French doors leading to Dining room. Full finished walk up attic with heat. 5 Possible bedrooms. 3 nice size bedrooms and ample closet  and storage space. 2 car garage. Living room with fireplace and recessed lighting. All new light fixtures. Main level 1/2 bathroom and separate laundry room. This home has been tastefully remodeled with nothing left undone. Available immediately. Easy to show.,Connecticut,Savoy,1,1,3,8,0.11,78,,1,5/23/2016 0:00,249000,FALSE,2374,,,Street,,Bridgeport,1946,6606,,Single Family,566,Colonial
44,1/16/2017 0:00,249900,2/28/2017 15:00,,,Active,2/28/2017 15:00,"NE Completely Renovated, 3 BRS & 2.5 bath COL, Has Sparkling HWD floors throughout, New Windows, Bright Living room with Fireplace, New Kitchen with Granite Counter Tops and Ceramic Backsplash, GE SS Appliances, Formal D/R, Master BRM Suite, 2 other BRMS w/ Full bath, New Main Water Line, All New Plumbing and Electric, New High Efficiency Gas Furnace & C/A, ON-Demand Water Heater & Much more","Library, Medical Facility, Public Transportation, Shopping/Mall","Full, Interior Access, Storage, Unfinished",,"Cent. Air, Zoned",Fairfield,Patio,2,"Gas, Hot Air",FALSE,,,Level,,99170797,North End,"YOU WILL FALL IN LOVE AS YOU ENTER THE HOUSE! Better than new, completely renovated from top to bottom, 3 Bedrooms and 2.5 bath colonial in North End has sparkling hardwood floors throughout, New Windows, Large & Bright Living Room with Fireplace, Brand New Expanded Kitchen with Granite Counter Tops and Ceramic Backsplash, GE Stainless Steel Appliances, Formal Dining Room, Master Bedroom Suite with Full Bath, 2 other Bedrooms with extra Full bath on 2nd floor, Whole House Low E-Argonne, New Main Water Line, All New Plumbing & Electric, New High Efficiency Gas Furnace & Central Air, ON-Demand Water Heater, 2 Car Gar. New driveway, new patio in the back, Beautiful stone wall in front, all new sod and landscaping, Close to schools & bus Line",Connecticut,Wayne,2,1,3,7,0.1,44,,1,,259900,FALSE,1940,,,Street,,Bridgeport,1930,6606,,Single Family,448,Colonial
35,1/25/2017 0:00,250000,2/2/2017 12:14,,,Cont. To Show,2/2/2017 12:14,,"Golf Course, Health Club, Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall","Finished, Full, Heated, Livable Space",,Window Unit,Fairfield,"Gutters, Lighting, Patio, Terrace",2,"Gas, Baseboard, Radiator",FALSE,,"9'+ Ceilings, Audio System, Insulated Windows, Security System, Skylight, Some Window Treatments",Partially Fenced,,99171984,Brooklawn,"Fully renovated Classic Colonial perched atop Capitol Ave just 2 blocks from Fairfield town line.  Lg Living Room w/ wood burning Fireplace, Formal Dining Room w/ built-in antique cabinets, bright Office/Sun Room; all featuring refinished hard wood floors & crown molding; open gourmet Kitchen w/ stainless steel appliances, granite counter tops, customs cabinets, tile floor & in-ceiling sound system; fully-finished lower-level Family room & Laundry Room; 2 new Full Baths; detached 2-car garage w/ electric door; storage Attic w/ pull-down stairs, Smart Home Security System & Solar Panels. Fully landscaped w/ private Patio & fenced-in yard, new walkways, newly sealed driveway, beautiful shrubs, gardens.  Convenient location, your oasis awaits!",Connecticut,Capitol,2,0,3,7,0.11,35,,1,,250000,FALSE,1524,,,Avenue,,Bridgeport,1940,6606,,Single Family,1185,Colonial
21,6/2/2016 0:00,252000,7/7/2016 13:20,7/7/2016 0:00,252500,Sold,7/7/2016 13:20,,"Health Club, Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall, Tennis Courts","Full, Interior Access, Partial",,None,Fairfield,"Gutters, Patio",2,"Gas, Hot Water, Baseboard",FALSE,,"Insulated Windows, Skylight","Corner, Fully Fenced, Level, Privacy Fence, Wood Fence",,99144464,Black Rock,"Quaint 1930's colonial in sought after Black Rock water community.  Hardwood floors, updated Kitchen and Baths, 3 Bedrooms, finished Attic.  Private, level, landscaped yard.  In-Town living.  Walk to Shops, Restaurants, Movies, Train and Harbor.",Connecticut,Wilson,1,1,3,6,0.12,21,,0,6/6/2016 0:00,252000,FALSE,1405,,,Street,,Bridgeport,1930,6605,,Single Family,240,Colonial
81,6/20/2016 0:00,269900,10/4/2016 12:57,10/4/2016 0:00,255000,Sold,10/4/2016 12:57,,"Health Club, Library, Medical Facility, Park, Public Transportation, Shopping/Mall","Finished, Full",,Cent. Air,Fairfield,Porch,1,"Gas, Hot Air",TRUE,,,Level,,99149923,North End,"Meticulously rebuilt. This home features a gourmet kitchen, with granite counter top Open first floor plan. Carefully designed second floor master bathroom with jetted tub and a separate shower stall. Very large bedrooms with ample closets. Full finished basement with a full bath. one car garage detached. Minutes to highways, public transportation, train and Trumbull Shopping Mall. Lake Forest Association Rights and optional right available.",Connecticut,Lakeside,3,0,4,8,0.22,81,,0,9/8/2016 0:00,269900,FALSE,1502,,,Drive,,Bridgeport,1956,6606,,Single Family,88,"Cape, Colonial"
50,7/7/2016 0:00,259000,9/7/2016 15:05,9/7/2016 0:00,255000,Sold,9/7/2016 15:05,,"Golf Course, Health Club, Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall",Full,,Cent. Air,Fairfield,"Deck, Porch",1,"Gas, Hot Air",FALSE,,Insulated Windows,"Level, Partially Fenced, Treed",,99152807,North End,"COMPLETE TOP TO BOTTOM RENOVATION ON LAKE AREA COLONIAL. New roof, siding, windows, and doors. New custom kitchen with granite counters and stainless steel appliances. Large master bedroom with walk in closet. Large bedrooms and closets. Two new tiled baths. New paint and hardwood floors throughout. New trim, hardware, and lighting throughout. Updated electrical. New high efficiency gas furnace and on demand hot water heater. New central AC. Oversized lot with large flat yard. Lake Forest and Charcol Pond rights. Everything has been done. Nothing short of new construction. Maintenance free for many years to come.",Connecticut,Griffin,2,0,3,7,0.23,50,,1,8/28/2016 0:10,259000,FALSE,1694,,,Avenue,,Bridgeport,1940,6606,,Single Family,145,Colonial
43,1/10/2016 0:00,269500,3/31/2016 14:23,3/22/2016 0:00,260000,Sold,3/31/2016 14:23,Rear neighbor that borders Homestead & Woodland is being rehabbed next 60 days and will be listed in the 360K range. Text or call LB for details. Thanks.,"Health Club, Park, Playground, Public Transportation, Tennis Courts","Full, Storage, Unfinished",,Window Unit,Fairfield,"Gutters, Lighting, Porch",1,"Gas, Hot Water",FALSE,,Some Window Treatments,"Level, Partially Fenced, Treed",,99126440,Black Rock,"Showings begin 1/12.  Attractive move-in condition Dutch Colonial located in the heart of Black Rock.  Walk to Harborview market, town park, tennis, harbor & beach and St. Mary's by the Sea.  Ideally located near neighborhood restaurants, health club, shopping & NEW METRO train.  Light and bright home  with hardwood flooring, fireplace, sunroom, garage & great storage space.  Don't miss this GEM! Call listing agent for neighborhood info. Exclusion: swing set.",Connecticut,Brewster,1,1,3,6,0.21,43,,1,2/22/2016 0:00,269500,FALSE,1408,,,Street,,Bridgeport,1915,6605,,Single Family,385,Colonial
69,9/22/2016 0:00,269900,1/13/2017 15:25,1/13/2017 0:00,260000,Sold,1/13/2017 15:25,"Home is being sold as is, buyer to do their due diligence. Completely finished basement, rooms not included in listing description (per owner). Contact agent for more info. 24hr notice required for all showings","Medical Facility, Public Transportation, Shopping/Mall","Finished, Full",,None,Fairfield,,1,"Gas, Baseboard",FALSE,,,City View,,99161194,North End,"Beautifully updated large Colonial home in the desirable North End. This home has gleaming hardwood floors throughout. Kitchen features SS appliances, large island with breakfast nook, granite counter tops, soft close cabinet doors and draws and tile back splash. Cozy living room with fire place and crown molding, that leads to rec/bonus room. All bathrooms have also been remodeled. Finished walk out basement. Newer boiler, windows and roof.",Connecticut,Main,2,1,3,7,0.29,69,,1,12/1/2016 0:00,269900,FALSE,1978,,,Street,,Bridgeport,1930,6606,,Single Family,3495,Colonial
379,12/20/2015 0:00,289900,4/1/2016 9:20,3/31/2016 0:00,265000,Sold,4/1/2016 9:20,"Renovated 1915 Colonial loaded with character & charm located on a quiet tree lined street in Black Rock. New eat in kitchen with stainless appliances & pantry with built ins, updated full bath with original claw foot tub, interior and exterior painted, hardwood floors refinished. Owner is a realtor.  Flood Ins. estimate is approximately $500 a year.  Low taxes.","Park, Public Transportation",Full,,None,Fairfield,Porch,2,"Oil, Hot Air",FALSE,,,,,99128746,Black Rock,"Just renovated 1915 Colonial loaded with character and old time charm located on a quiet tree lined street in Black Rock. New eat in kitchen with stainless appliances and pantry with built ins, updated full bath with original claw foot tub, interior and exterior painted, hardwood floors refinished.  Beautiful craftsmanship and woodwork throughout, stained glass windows, spacious rooms. Dining room with window seat, two car garage.  A grand home to entertain in, covered front porch and enclosed rear porch for seasonal entertaining.  Walk to area Restaurants, St. Mary's By The Sea and Metro Train Station. Owner is a licensed realtor.",Connecticut,Clarkson,1,1,3,6,0.12,102,,0,3/31/2016 0:00,289900,FALSE,1458,,,Street,,Bridgeport,1915,6605,,Single Family,90,Colonial
153,9/29/2016 0:00,269000,1/26/2017 14:23,,,Active,11/29/2016 12:13,,"Golf Course, Health Club, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall",Full,,Window Unit,Fairfield,"Deck, French Doors, Gutters, Lighting",2,"Gas, Radiator",FALSE,,"9'+ Ceilings, All Window Treatments, Insulated Windows, Security System","Level, Partially Fenced",,99162004,Brooklawn,"Desirable Brooklawn location on Fairfield Line! Completely renovated home providing today's amenities, yet maintaining yesteryear's charm. Enjoy the lovely kitchen w breakfast nook, granite counter tops, quiet-close cabinets/drawers, ss appliances, 2 car garage, frml DR & LR w fpl, glmng hdwd throughout, french doors, gracious sized bdrms, bsmnt &/or walk up attic can be fnshd, & has 30 year cement cedar board siding w the appearance of wood! Enjoy entertaining in this home as it has a great flow & very spacious rooms. Love entertaining outdoors? This home has two decks & a lovely back yard. Convenient location to Fairfield Metro, Merritt Parkway, I-95, shopping, and restaurants! Security system and portable cameras also included.",Connecticut,Hughes,1,1,3,7,0.11,153,,1,,275000,FALSE,1981,,,Avenue,,Bridgeport,1929,6604,,Single Family,144,Colonial
13,2/16/2017 0:00,269900,2/16/2017 14:50,,,Active,2/16/2017 14:50,,"Golf Course, Health Club, Library, Medical Facility, Park, Playground, Public Transportation, Shopping/Mall","Full, Interior Access",,Window Unit,Fairfield,"Deck, Lighting, Porch",2,Gas,FALSE,,"9'+ Ceilings, Insulated Windows","Level, Partially Fenced",,99174389,North End,"Completely renovated home in Upper North End. This home boasts large entrance hall with front and back staircase.  Updated kitchen with white custom cabinets, island with granite tops, and samsung stainless steel appliances. Large living room with fireplace. Hardwood floors throughout. New roof, siding, furnace, water heater and windows. New tile baths. New Paint. Large 2 detached car garage.  Nothing to do but move in.",Connecticut,Terry,1,1,4,6,0.17,13,,2,,269900,FALSE,1997,,,Place,,Bridgeport,1924,6606,,Single Family,44,Colonial
85,9/27/2016 0:00,309000,11/15/2016 12:53,11/15/2016 0:00,290000,Sold,11/15/2016 12:53,,"Park, Playground, Public Transportation",Full,,Window Unit,Fairfield,Deck,2,"Gas, Hot Water, Radiator",FALSE,,,"Fully Fenced, Level, Wood Fence",,99161743,Black Rock,"STROLL THE PROMENADE IN ST MARY'S BY THE SEA, TO BLACK ROCK ON THE SOUND - 333 GROVERS AVENUE - LOVED AND CARED FOR DUTCH COLONIAL - 3 BDRMS, 1.5 BTHS, FULL ATTIC, NEW KITCHEN W/ GRANITE CNTERS, GLASS FRNT CABINETS, BRKFST BAR, FRMAL DNG RM, LVG RM W/ ELECTRIC FRPL, ORGINAL STAINED GLASS WINDOWS, HRDWD FLOORS THROUGHOUT, SUNRM/HOME OFFICE W/ TILE FLR. MUD RM TO DECK, 2 CAR GARAGE W/ STORAGE. PRIVATE TREE LINED YRD W/ SURROUNDING PICKET FENCE-GREAT FOR PETS!   HAVE KIDS AT UNIVERSITIES IN THE AREA? GREAT INVESTMENT, EASY ACCESS SPOT IF PASSING THROUGH TO THE CITY!  A WELCOMING NEIGHBORHOOD, WALK TO RESTAURANTS, FARMER'S MKT, MARINA, BEACH, PLAYGRND ACTIVITIES AND A MORNING CAFE TO MEET FRIENDS! STOP BY THE FRONT GATE TO THIS WELCOMING HOME!",Connecticut,Grovers,1,1,3,7,0.12,25,,0,10/22/2016 0:00,309000,FALSE,1416,,,Avenue,,Bridgeport,1931,6605,,Single Family,333,Colonial
66,6/10/2016 0:00,329000,8/26/2016 22:27,8/26/2016 0:00,310000,Sold,8/26/2016 22:27,Owner to find suitable housing.  Part of lot in flood zone.  Never had a flooding issue.  Flood insurance is 518.00 per year and can sell with the house.  It is with the Russell Agency in Southport.  Policy will transfer to new owner. Sewer and water main protection policy in place.,"Library, Park, Playground, Public Transportation, Tennis Courts",Full,,None,Fairfield,Porch,2,Oil,FALSE,,"9'+ Ceilings, Insulated Windows","Partially Fenced, Treed",,99149507,Black Rock,"This pristine 1918 Colonial offers it all! After admiring the beautiful landscaping and wide, inviting front porch, you’ll want to rush in the front door of this charming home. Great period details and hardwood floors beckon you to the open and bright living areas! The living room, with its welcoming fireplace, opens with an archway to the gleaming dining room, with recessed windows and great mouldings. A pleasant eat-in kitchen, rear sunroom, and rear stairwell add to the charm of this home. Great walking community – restaurants, Fairfield Metro Train Station and St. Mary’s by the Sea with its beautiful views can be your new neighborhood. Free preschool at the BR School. This 3 bedroom, 1.5 bath, 2 car garage home won’t last long!",Connecticut,Clarkson,1,1,3,6,0.13,66,,1,8/16/2016 0:00,329000,FALSE,1542,,,Street,,Bridgeport,1918,6605,,Single Family,75,"Colonial, Bungalow"
